id,Courses,roadmap_id
130,Bachelor of Science With Major in Industrial Fish and fisheries,
131,Bachelor of Science With Major in Information Technology,
132,Bachelor of Science With Major in Mathematics,
133,Bachelor of Science With Major in Physics,
134,Bachelor of Science With Major in Sericulture,
135,Bachelor of Science With Major in Statistics,
136,Bachelor of Science With Major in Zoology,
137,Bachelor of Science Zoology (Hons),
138,Bachelor of Social and Behavioral Science With Major in Economics,
139,Bachelor of Social and Behavioral Science With Major in Education,
140,Bachelor of Social and Behavioural Science With Major in History,
141,Bachelor of Social and Behavioural Science With Major in Islamic Studies,
142,Bachelor of Social and Behavioural Science With Major in Library Science,
143,Bachelor of Social and Behavioural Science With Major in Philosophy,
144,Bachelor of Social and Behavioural Science With Major in Physical Education,
145,Bachelor of Social and Behavioural Science With Major in Political Science,
146,Bachelor of Social and Behavioural Science With Major in Psychology,
147,Bachelor of Social and Behavioural Science With Major in Public Administration,
148,Bachelor of Social and Behavioural Science With Major in Sociology,
149,BACHELORS (HONOURS) WITH ACCOUNTING & TAXATION (COMMERCE) AS MAJOR,
150,BACHELORS (HONOURS) WITH ANTHROPOLOGY AS MAJOR,
151,BACHELORS (HONOURS) WITH ARABIC LITERATURE AS MAJOR,
152,BACHELORS (HONOURS) WITH BIO-CHEMISTRY AS MAJOR,
153,BACHELORS (HONOURS) WITH BIO-RESOURCES AS MAJOR,
154,BACHELORS (HONOURS) WITH BIO-TECHNOLOGY AS MAJOR,
155,BACHELORS (HONOURS) WITH BOTANY AS MAJOR,
156,BACHELORS (HONOURS) WITH BUSINESS ADMINISTRATION AS MAJOR,
157,BACHELORS (HONOURS) WITH CHEMISTRY AS MAJOR,
158,BACHELORS (HONOURS) WITH CLINICAL BIO-CHEMISTRY AS MAJOR,
159,BACHELORS (HONOURS) WITH COMMERCE (FINANCE) AS MAJOR,
160,BACHELORS (HONOURS) WITH COMPUTER APPLICATIONS AS MAJOR,
161,BACHELORS (HONOURS) WITH DISASTER MANAGEMENT AS MAJOR,
162,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,
163,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,
164,BACHELORS (HONOURS) WITH ELECTRONICS AS MAJOR,
165,BACHELORS (HONOURS) WITH ENGLISH LITERATURE AS MAJOR,
166,BACHELORS (HONOURS) WITH ENVIRONMENTAL SCIENCE AS MAJOR,
167,BACHELORS (HONOURS) WITH FOOD SCIENCE & TECHNOLOGY AS MAJOR,
168,BACHELORS (HONOURS) WITH GEOGRAPHY AS MAJOR,
169,BACHELORS (HONOURS) WITH GEOLOGY AS MAJOR,
170,BACHELORS (HONOURS) WITH HINDI LITERATURE AS MAJOR,
171,BACHELORS (HONOURS) WITH HISTORY AS MAJOR,
172,BACHELORS (HONOURS) WITH HOME SCIENCE AS MAJOR,
173,BACHELORS (HONOURS) WITH INDIAN MUSIC AS MAJOR,
174,BACHELORS (HONOURS) WITH INFORMATION TECHNOLOGY AS MAJOR,
175,BACHELORS (HONOURS) WITH ISLAMIC STUDIES AS MAJOR,
176,BACHELORS (HONOURS) WITH KASHMIRI LITERATURE AS MAJOR,
177,BACHELORS (HONOURS) WITH MANAGEMENT (COMMERCE) AS MAJOR,
178,BACHELORS (HONOURS) WITH MASS COMMUNICATION AND MULTIMEDIA PRODUCTION AS MAJOR,
179,BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR,
180,BACHELORS (HONOURS) WITH PERSIAN LITERATURE AS MAJOR,
181,BACHELORS (HONOURS) WITH PHILOSOPHY AS MAJOR,
182,BACHELORS (HONOURS) WITH PHYSICS AS MAJOR,
183,BACHELORS (HONOURS) WITH POLITICAL SCIENCE AS MAJOR,
184,BACHELORS (HONOURS) WITH PSYCHOLOGY AS MAJOR,
185,BACHELORS (HONOURS) WITH PUBLIC ADMINISTRATION AS MAJOR,
186,BACHELORS (HONOURS) WITH PUNJABI LITERATURE AS MAJOR,
187,BACHELORS (HONOURS) WITH SOCIAL WORK AS MAJOR,
188,BACHELORS (HONOURS) WITH SOCIOLOGY AS MAJOR,
189,BACHELORS (HONOURS) WITH SPOKEN PERSIAN AS MAJOR,
190,BACHELORS (HONOURS) WITH STATISTICS AS MAJOR,
191,BACHELORS (HONOURS) WITH TOURISM AND TRAVEL MANAGEMENT AS MAJOR,
192,BACHELORS (HONOURS) WITH URDU LITERATURE AS MAJOR,
193,BACHELORS (HONOURS) WITH WATER MANAGEMENT AS MAJOR,
194,BACHELORS (HONOURS) WITH ZOOLOGY AS MAJOR,
195,BACHELORS OF SCIENCE IN ZOLOOGY AS MAJOR,
196,BSc Anthropology,
197,BSc Biotechnology,
198,BSc Botany,
199,BSc Chemistry,
200,BSc Geography,
201,BSc Home Science,
202,BSc in Biotechnology,
203,BSc in Botany,
204,BSc in Chemistry,
205,BSc in Electronics,
206,BSc in Geography,
207,BSc in Geology,
208,BSc in Mathematics,
209,BSc in Physics,
210,BSc in Zoology,
211,BSc Mathematics,
212,BSc Physics,
213,BSc Zoology,
214,Design Your Degree,
215,Design Your Degree (DYD),
