id,courses,colleges
896,Bachelor of Arts Islamic Studies (Hons),Amar Singh College Srinagar
897,Bachelor of Arts Islamic Studies (Hons),Government College for Women M A Road Srinagar
898,Bachelor of Arts Journalism & Mass Communication (Hons),Amar Singh College Srinagar
899,Bachelor of Arts Journalism & Mass Communication (Hons),Government College for Women M A Road Srinagar
900,Bachelor of Arts Kashmiri (Hons),Amar Singh College Srinagar
901,Bachelor of Arts Kashmiri (Hons),Abdul Ahad Azad Memorial College Bemina
902,Bachelor of Arts Kashmiri (Hons),Government College for Women M A Road Srinagar
903,Bachelor of Arts Music (Hons),Government College for Women M A Road Srinagar
904,Bachelor of Arts Philosophy (Hons),Government Degree College Baramulla
905,Bachelor of Arts Philosophy (Hons),Amar Singh College Srinagar
906,Bachelor of Arts Philosophy (Hons),Government College for Women M A Road Srinagar
907,Bachelor of Arts Political Science (Hons),Government Degree College Baramulla
908,Bachelor of Arts Political Science (Hons),Amar Singh College Srinagar
909,Bachelor of Arts Political Science (Hons),Abdul Ahad Azad Memorial College Bemina
910,Bachelor of Arts Political Science (Hons),Govt. Degree College Hyderpora
911,Bachelor of Arts Political Science (Hons),Government College for Women M A Road Srinagar
912,Bachelor of Arts Psychology (Hons),Government Degree College Baramulla
913,Bachelor of Arts Psychology (Hons),Amar Singh College Srinagar
914,Bachelor of Arts Psychology (Hons),Government College for Women M A Road Srinagar
915,Bachelor of Arts Public Administration (Hons),Government Degree College Baramulla
916,Bachelor of Arts Public Administration (Hons),Amar Singh College Srinagar
917,Bachelor of Arts Public Administration (Hons),Abdul Ahad Azad Memorial College Bemina
918,Bachelor of Arts Social Work (Hons),Government Degree College Baramulla
919,Bachelor of Arts Social Work (Hons),Government College for Women M A Road Srinagar
920,Bachelor of Arts Sociology (Hons),Government Degree College Baramulla
921,Bachelor of Arts Sociology (Hons),Amar Singh College Srinagar
922,Bachelor of Arts Sociology (Hons),Abdul Ahad Azad Memorial College Bemina
923,Bachelor of Arts Sociology (Hons),Hamidi Kashmiri Memorial Government Degree College Eidgah Kashmir.
924,Bachelor of Arts Sociology (Hons),Govt. Degree College Hyderpora
925,Bachelor of Arts Sociology (Hons),Government College for Women M A Road Srinagar
926,Bachelor of Arts Tour and Travel Management (Hons),Amar Singh College Srinagar
927,Bachelor of Arts Urdu (Hons),Government Degree College Baramulla
928,Bachelor of Arts Urdu (Hons),Amar Singh College Srinagar
929,Bachelor of Arts Urdu (Hons),Abdul Ahad Azad Memorial College Bemina
930,Bachelor of Arts Urdu (Hons),Hamidi Kashmiri Memorial Government Degree College Eidgah Kashmir.
931,Bachelor of Arts Urdu (Hons),Government College for Women M A Road Srinagar
932,Bachelor of Arts/Science Geography (Hons),Amar Singh College Srinagar
933,Bachelor of Arts/Science Geography (Hons),Government College for Women M A Road Srinagar
934,Bachelor of Arts/Science Geography (Hons),Sri Pratap College Srinagar
935,Bachelor of Arts/Science Mathematics (Hons),Amar Singh College Srinagar
936,Bachelor of Arts/Science Mathematics (Hons),Abdul Ahad Azad Memorial College Bemina
937,Bachelor of Arts/Science Mathematics (Hons),Government College for Women M A Road Srinagar
938,Bachelor of Arts/Science Mathematics (Hons),Sri Pratap College Srinagar
939,Bachelor of Arts/Science Statistics (Hons),Amar Singh College Srinagar
940,Bachelor of Arts/Science Statistics (Hons),Abdul Ahad Azad Memorial College Bemina
941,Bachelor of Business Administration (Honours),"Islamia College of Science & Commerce, Srinagar"
942,Bachelor of Business Administration (Honours) Self Financed,"Islamia College of Science & Commerce, Srinagar"
943,Bachelor of business Administration (Hons),Government Degree College Baramulla
944,Bachelor of Business Administration in Financial Management (Hons),Abdul Ahad Azad Memorial College Bemina
945,Bachelor of Business Administration in Marketing Management (Hons),Abdul Ahad Azad Memorial College Bemina
946,Bachelor of Commerce,Government College for Women Parade Ground Jammu
947,Bachelor of Commerce (Hons),Government Degree College Baramulla
948,Bachelor of Commerce (Hons),Amar Singh College Srinagar
949,Bachelor of Commerce (Hons),Hamidi Kashmiri Memorial Government Degree College Eidgah Kashmir.
950,Bachelor of Commerce (Hons),Govt. Degree College Hyderpora
951,Bachelor of Commerce in Accounting & Taxation (Honours),"Islamia College of Science & Commerce, Srinagar"
952,Bachelor of Commerce in Accounting & Taxation (Honours) Self Financed,"Islamia College of Science & Commerce, Srinagar"
953,Bachelor of Commerce in Accounting & Taxation (Hons),Abdul Ahad Azad Memorial College Bemina
954,Bachelor of Commerce in Finance (Honours),"Islamia College of Science & Commerce, Srinagar"
955,Bachelor of Commerce in Finance (Honours) Self Financed,"Islamia College of Science & Commerce, Srinagar"
956,Bachelor of Commerce in Finance (Hons),Abdul Ahad Azad Memorial College Bemina
957,Bachelor of Commerce With Major in Accounting and Finance,Government College For Women Bhagwati Nagar Jammu
958,Bachelor of Commerce With Major in Accounting and Finance,Government College for Women Udhampur
959,Bachelor of Commerce With Major in Accounting and Finance,Government Degree College Akhnoor
960,Bachelor of Commerce With Major in Accounting and Finance,Government Degree College Billawar
961,Bachelor of Commerce With Major in Accounting and Finance,Government Degree College Doda
962,Bachelor of Commerce With Major in Accounting and Finance,Government Degree College Kathua
963,Bachelor of Commerce With Major in Accounting and Finance,Government Degree College Kishtwar
964,Bachelor of Commerce With Major in Accounting and Finance,Government Degree College Marh
965,Bachelor of Commerce With Major in Accounting and Finance,Government Degree College Sainik Colony Kunjwani
966,Bachelor of Commerce With Major in Accounting and Finance,Government Degree College Sidhra
967,Bachelor of Commerce With Major in Accounting and Finance,Government Degree College Udhampur
968,Bachelor of Commerce With Major in Accounting and Finance,Government Degree College Vijaypur
969,Bachelor of Commerce With Major in Accounting and Finance,Government General Zorawar Singh Memorial Degree College Reasi.
970,Bachelor of Commerce With Major in Accounting and Finance,Government PG College Rajouri
971,Bachelor of Commerce With Major in Accounting and Finance,Pt Premnath Dogra GDC Samba
972,Bachelor of Commerce With Major in Accounting and Finance,Shri Kishan Chander Government Degree College Poonch
973,Bachelor of Commerce With Major in Business Studies,Government Degree College Doda
974,Bachelor of Computer Application (Hons),Amar Singh College Srinagar
975,Bachelor of Computer Application (Hons),Abdul Ahad Azad Memorial College Bemina
976,Bachelor of Computer Application (Hons),Government College for Women M A Road Srinagar
977,Bachelor of Computer Applications,Government Gandhi Memorial Science College
978,Bachelor of Computer Applications (Honours),"Islamia College of Science & Commerce, Srinagar"
979,Bachelor of Computer Applications (Honours) Self Financed,"Islamia College of Science & Commerce, Srinagar"
980,Bachelor of Computer Applications (Hons),Government Degree College Baramulla
981,Bachelor of Computer Applications Self Financed,Government Gandhi Memorial Science College
982,Bachelor of Management with Major in Business Management,Government Degree College Kathua
983,Bachelor of Management with Major in Business Management,Government Degree College Udhampur
984,Bachelor of Management with Major in Business Management,Government PG College Rajouri
985,Bachelor of Multimedia and Mass Communication,Government Degree College Baramulla
986,Bachelor of Science Anthropology (Hons),Government Degree College Baramulla
987,Bachelor of Science Bio-Chemistry (Hons),Government Degree College Baramulla
988,Bachelor of Science Biochemistry (Hons),Government College for Women M A Road Srinagar
989,Bachelor of Science Biochemistry (Hons),Sri Pratap College Srinagar
990,Bachelor of Science Biotechnology (Hons),Government Degree College Baramulla
991,Bachelor of Science Biotechnology (Hons),Government College for Women M A Road Srinagar
992,Bachelor of Science Biotechnology (Hons),Sri Pratap College Srinagar
993,Bachelor of Science Botany (Honours),"Islamia College of Science & Commerce, Srinagar"
994,Bachelor of Science Botany (Honours) Self Financed,"Islamia College of Science & Commerce, Srinagar"
995,Bachelor of Science Botany (Hons),Government Degree College Baramulla
996,Bachelor of Science Botany (Hons),Amar Singh College Srinagar
997,Bachelor of Science Botany (Hons),Abdul Ahad Azad Memorial College Bemina
998,Bachelor of Science Botany (Hons),Government College for Women M A Road Srinagar
999,Bachelor of Science Botany (Hons),Sri Pratap College Srinagar
1000,Bachelor of Science Chemistry (Hons),Government Degree College Baramulla
1001,Bachelor of Science Chemistry (Hons),Amar Singh College Srinagar
1002,Bachelor of Science Chemistry (Hons),Abdul Ahad Azad Memorial College Bemina
1003,Bachelor of Science Chemistry (Hons),Hamidi Kashmiri Memorial Government Degree College Eidgah Kashmir.
1004,Bachelor of Science Chemistry (Hons),Govt. Degree College Hyderpora
1005,Bachelor of Science Chemistry (Hons),Government College for Women M A Road Srinagar
1006,Bachelor of Science Chemistry (Hons),Sri Pratap College Srinagar
1007,Bachelor of Science Clinical Bio-Chemistry (Hons),Government Degree College Baramulla
1008,Bachelor of Science Clinical Bio-Chemistry (Hons),Government College for Women M A Road Srinagar
1009,Bachelor of Science Electronics (Hons),Government College for Women M A Road Srinagar
1010,Bachelor of Science Environmental Science (Hons),Government Degree College Baramulla
1011,Bachelor of Science Environmental Science (Hons),Amar Singh College Srinagar
1012,Bachelor of Science Environmental Science (Hons),Abdul Ahad Azad Memorial College Bemina
1013,Bachelor of Science Environmental Science (Hons),Hamidi Kashmiri Memorial Government Degree College Eidgah Kashmir.
1014,Bachelor of Science Environmental Science (Hons),Government College for Women M A Road Srinagar
1015,Bachelor of Science Environmental Science (Hons),Sri Pratap College Srinagar
1016,Bachelor of Science Food Science & Technology (Hons),Government Degree College Baramulla
1017,Bachelor of Science Food Science & Technology (Hons),Government College for Women M A Road Srinagar
1018,Bachelor of Science Geology (Hons),Amar Singh College Srinagar
1019,Bachelor of Science Geology (Hons),Sri Pratap College Srinagar
1020,Bachelor of Science Home Science (Hons),Government College for Women M A Road Srinagar
1021,Bachelor of Science in Bio-Chemistry (Honours),"Islamia College of Science & Commerce, Srinagar"
1022,Bachelor of Science in Bio-Chemistry (Honours) Self Financed,"Islamia College of Science & Commerce, Srinagar"
1023,Bachelor of Science in Biotechnology (Honours),"Islamia College of Science & Commerce, Srinagar"
1024,Bachelor of Science in Biotechnology (Honours) Self Financed,"Islamia College of Science & Commerce, Srinagar"
1025,Bachelor of Science in Botany (Integrated),"Islamia College of Science & Commerce, Srinagar"
1026,Bachelor of Science in Botany (Integrated) Self Financed,"Islamia College of Science & Commerce, Srinagar"
1027,Bachelor of Science in Chemistry (Honours),"Islamia College of Science & Commerce, Srinagar"
1028,Bachelor of Science in Chemistry (Honours) Self Financed,"Islamia College of Science & Commerce, Srinagar"
1029,Bachelor of Science in Chemistry (Integrated),"Islamia College of Science & Commerce, Srinagar"
1030,Bachelor of Science in Chemistry (Integrated) Self Financed,"Islamia College of Science & Commerce, Srinagar"
1031,Bachelor of Science in Electronics (Honours),"Islamia College of Science & Commerce, Srinagar"
1032,Bachelor of Science in Electronics (Honours) Self Financed,"Islamia College of Science & Commerce, Srinagar"
1033,Bachelor of Science in Information Technology (Honours),"Islamia College of Science & Commerce, Srinagar"
1034,Bachelor of Science in Information Technology (Honours) Self Financed,"Islamia College of Science & Commerce, Srinagar"
1035,Bachelor of Science in Mathematics (Honours),"Islamia College of Science & Commerce, Srinagar"
1036,Bachelor of Science in Mathematics (Honours) Self Financed,"Islamia College of Science & Commerce, Srinagar"
1037,Bachelor of Science in NanoScience & NanoTechnology (Honours),"Islamia College of Science & Commerce, Srinagar"
1038,Bachelor of Science in NanoScience & NanoTechnology (Honours) Self Financed,"Islamia College of Science & Commerce, Srinagar"
1039,Bachelor of Science in Physics (Honours),"Islamia College of Science & Commerce, Srinagar"
1040,Bachelor of Science in Physics (Honours) Self Financed,"Islamia College of Science & Commerce, Srinagar"
1041,Bachelor of Science in Zoology (Honours),"Islamia College of Science & Commerce, Srinagar"
1042,Bachelor of Science in Zoology (Honours) Self Financed,"Islamia College of Science & Commerce, Srinagar"
1043,Bachelor of Science in Zoology (Integrated),"Islamia College of Science & Commerce, Srinagar"
1044,Bachelor of Science in Zoology (Integrated) Self Financed,"Islamia College of Science & Commerce, Srinagar"
1045,Bachelor of Science Information Technology (Hons),Government Degree College Baramulla
1046,Bachelor of Science Information Technology (Hons),Sri Pratap College Srinagar
1047,Bachelor of Science Mathematics (Hons),Government Degree College Baramulla
1048,Bachelor of Science Physics (Hons),Government Degree College Baramulla
1049,Bachelor of Science Physics (Hons),Amar Singh College Srinagar
1050,Bachelor of Science Physics (Hons),Abdul Ahad Azad Memorial College Bemina
1051,Bachelor of Science Physics (Hons),Government College for Women M A Road Srinagar
1052,Bachelor of Science Physics (Hons),Sri Pratap College Srinagar
1053,Bachelor of Science Statistics (Hons),Government Degree College Baramulla
1054,Bachelor of Science with Major in Biochemistry,Government PG College Rajouri
1055,Bachelor of Science with Major in Biotechnology,Government Degree College Kathua
1056,Bachelor of Science with Major in Biotechnology,Government Degree College Udhampur
1057,Bachelor of Science with Major in Biotechnology,Government PG College Rajouri
1058,Bachelor of Science with Major in Biotechnology,Shri Kishan Chander Government Degree College Poonch
1059,Bachelor of Science with Major in Botany,Government College for Women Udhampur
1060,Bachelor of Science with Major in Botany,Government Degree College Akhnoor
1061,Bachelor of Science with Major in Botany,Government Degree College Banihal
1062,Bachelor of Science with Major in Botany,Government Degree College Basohli
1063,Bachelor of Science with Major in Botany,Government Degree College Bhaderwah
1064,Bachelor of Science with Major in Botany,Government Degree College Billawar
1065,Bachelor of Science with Major in Botany,Government Degree College Budhal
1066,Bachelor of Science with Major in Botany,Government Degree College Darhal
1067,Bachelor of Science with Major in Botany,Government Degree College Doda
1068,Bachelor of Science with Major in Botany,Government Degree College for Women Kathua
1069,Bachelor of Science with Major in Botany,Government Degree College Hiranagar
1070,Bachelor of Science with Major in Botany,Government Degree College Kathua
1071,Bachelor of Science with Major in Botany,Government Degree College Kilhotran
1072,Bachelor of Science with Major in Botany,Government Degree College Kishtwar
1073,Bachelor of Science with Major in Botany,Government Degree College Marh
1074,Bachelor of Science with Major in Botany,Government Degree College Mendhar
1075,Bachelor of Science with Major in Botany,Government Degree College Nowshera
1076,Bachelor of Science with Major in Botany,Government Degree College Paloura
1077,Bachelor of Science with Major in Botany,Government Degree College R S Pura
1078,Bachelor of Science with Major in Botany,Government Degree College Ramban
1079,Bachelor of Science with Major in Botany,Government Degree College Ramnagar
1080,Bachelor of Science with Major in Botany,Government Degree College Surankote
1081,Bachelor of Science with Major in Botany,Government Degree College Thanamandi
1082,Bachelor of Science with Major in Botany,Government Degree College Udhampur
1083,Bachelor of Science with Major in Botany,Government General Zorawar Singh Memorial Degree College Reasi.
1084,Bachelor of Science with Major in Botany,Government PG College Rajouri
1085,Bachelor of Science with Major in Botany,Pt Premnath Dogra GDC Samba
1086,Bachelor of Science with Major in Botany,Shri Kishan Chander Government Degree College Poonch
1087,Bachelor of Science With Major in Chemistry,Government College for Women Udhampur
1088,Bachelor of Science With Major in Chemistry,Government Degree College Akhnoor
1089,Bachelor of Science With Major in Chemistry,Government Degree College Bhaderwah
1090,Bachelor of Science With Major in Chemistry,Government Degree College Billawar
1091,Bachelor of Science With Major in Chemistry,Government Degree College Chenani
1092,Bachelor of Science With Major in Chemistry,Government Degree College Doda
1093,Bachelor of Science With Major in Chemistry,Government Degree College Hiranagar
1094,Bachelor of Science With Major in Chemistry,Government Degree College Kathua
1095,Bachelor of Science With Major in Chemistry,Government Degree College Kilhotran
1096,Bachelor of Science With Major in Chemistry,Government Degree College Kishtwar
1097,Bachelor of Science With Major in Chemistry,Government Degree College Mahanpur
1098,Bachelor of Science With Major in Chemistry,Government Degree College Marh
1099,Bachelor of Science With Major in Chemistry,Government Degree College Mendhar
1100,Bachelor of Science With Major in Chemistry,Government Degree College Nowshera
1101,Bachelor of Science With Major in Chemistry,Government Degree College Paloura
1102,Bachelor of Science With Major in Chemistry,Government Degree College R S Pura
1103,Bachelor of Science With Major in Chemistry,Government Degree College Udhampur
1104,Bachelor of Science With Major in Chemistry,Government General Zorawar Singh Memorial Degree College Reasi.
1105,Bachelor of Science With Major in Chemistry,Government PG College Rajouri
1106,Bachelor of Science With Major in Chemistry,Pt Premnath Dogra GDC Samba
1107,Bachelor of Science With Major in Chemistry,Shri Kishan Chander Government Degree College Poonch
1108,Bachelor of Science With Major in Computer Application,Government College for Women Udhampur
1109,Bachelor of Science With Major in Computer Application,Government Degree College Akhnoor
1110,Bachelor of Science With Major in Computer Application,Government Degree College Bhaderwah
1111,Bachelor of Science With Major in Computer Application,Government Degree College Billawar
1112,Bachelor of Science With Major in Computer Application,Government Degree College Doda
1113,Bachelor of Science With Major in Computer Application,Government Degree College for Women Kathua
1114,Bachelor of Science With Major in Computer Application,Government Degree College Kathua
1115,Bachelor of Science With Major in Computer Application,Government Degree College Kilhotran
1116,Bachelor of Science With Major in Computer Application,Government Degree College Kishtwar
1117,Bachelor of Science With Major in Computer Application,Government Degree College Mendhar
1118,Bachelor of Science With Major in Computer Application,Government Degree College R S Pura
1119,Bachelor of Science With Major in Computer Application,Government Degree College Surankote
1120,Bachelor of Science With Major in Computer Application,Government Degree College Udhampur
1121,Bachelor of Science With Major in Computer Application,Government General Zorawar Singh Memorial Degree College Reasi.
1122,Bachelor of Science With Major in Computer Application,Government PG College Rajouri
1123,Bachelor of Science With Major in Computer Application,Pt Premnath Dogra GDC Samba
1124,Bachelor of Science With Major in Computer Application,Shri Kishan Chander Government Degree College Poonch
1125,Bachelor of Science With Major in Electronics,Government Degree College Udhampur
1126,Bachelor of Science With Major in Environmental Science,Government Degree College Kathua
1127,Bachelor of Science With Major in Environmental Science,Government Degree College Kilhotran
1128,Bachelor of Science With Major in Environmental Science,Government Degree College Kishtwar
1129,Bachelor of Science With Major in Environmental Science,Government Degree College Mendhar
1130,Bachelor of Science With Major in Environmental Science,Government Degree College Nowshera
1131,Bachelor of Science With Major in Environmental Science,Government Degree College R S Pura
1132,Bachelor of Science With Major in Environmental Science,Government Degree College Sainik Colony Kunjwani
1133,Bachelor of Science With Major in Environmental Science,Government Degree College Thanamandi
1134,Bachelor of Science With Major in Geography,Government College for Women Udhampur
1135,Bachelor of Science With Major in Geography,Government Degree College Basohli
1136,Bachelor of Science With Major in Geography,Government Degree College Bhaderwah
1137,Bachelor of Science With Major in Geography,Government Degree College Billawar
1138,Bachelor of Science With Major in Geography,Government Degree College Budhal
1139,Bachelor of Science With Major in Geography,Government Degree College Chenani
1140,Bachelor of Science With Major in Geography,Government Degree College Doda
1141,Bachelor of Science With Major in Geography,Government Degree College for Women Kathua
1142,Bachelor of Science With Major in Geography,Government Degree College Hiranagar
1143,Bachelor of Science With Major in Geography,Government Degree College Kathua
1144,Bachelor of Science With Major in Geography,Government Degree College Kishtwar
1145,Bachelor of Science With Major in Geography,Government Degree College Marh
1146,Bachelor of Science With Major in Geography,Government Degree College Mendhar
1147,Bachelor of Science With Major in Geography,Government Degree College Nagrota
1148,Bachelor of Science With Major in Geography,Government Degree College Nowshera
1149,Bachelor of Science With Major in Geography,Government Degree College Peeri Kotranka
1150,Bachelor of Science With Major in Geography,Government Degree College R S Pura
1151,Bachelor of Science With Major in Geography,Government Degree College Ramban
1152,Bachelor of Science With Major in Geography,Government Degree College Surankote
1153,Bachelor of Science With Major in Geography,Government Degree College Thanamandi
1154,Bachelor of Science With Major in Geography,Government Degree College Udhampur
1155,Bachelor of Science With Major in Geography,Government Degree College Vijaypur
1156,Bachelor of Science With Major in Geography,Government General Zorawar Singh Memorial Degree College Reasi.
1157,Bachelor of Science With Major in Geography,Government PG College Rajouri
1158,Bachelor of Science With Major in Geography,Pt Premnath Dogra GDC Samba
1159,Bachelor of Science With Major in Geography,Shri Kishan Chander Government Degree College Poonch
1160,Bachelor of Science With Major in Geology,Government Degree College Doda
1161,Bachelor of Science With Major in Geology,Government Degree College Kathua
1162,Bachelor of Science With Major in Geology,Government Degree College Udhampur
1163,Bachelor of Science With Major in Geology,Government PG College Rajouri
1164,Bachelor of Science With Major in Home Science,Government Degree College Kathua
1165,Bachelor of Science With Major in Industrial Fish and fisheries,Government Degree College Kathua
1166,Bachelor of Science With Major in Industrial Fish and fisheries,Government Degree College Kishtwar
1167,Bachelor of Science With Major in Information Technology,Government PG College Rajouri
1168,Bachelor of Science With Major in Mathematics,Government College for Women Udhampur
1169,Bachelor of Science With Major in Mathematics,Government Degree College Akhnoor
1170,Bachelor of Science With Major in Mathematics,Government Degree College Basohli
1171,Bachelor of Science With Major in Mathematics,Government Degree College Bhaderwah
1172,Bachelor of Science With Major in Mathematics,Government Degree College Bishnah
1173,Bachelor of Science With Major in Mathematics,Government Degree College Chenani
1174,Bachelor of Science With Major in Mathematics,Government Degree College Doda
1175,Bachelor of Science With Major in Mathematics,Government Degree College Hiranagar
1176,Bachelor of Science With Major in Mathematics,Government Degree College Kathua
1177,Bachelor of Science With Major in Mathematics,Government Degree College Khour
1178,Bachelor of Science With Major in Mathematics,Government Degree College Kishtwar
1179,Bachelor of Science With Major in Mathematics,Government Degree College Marh
1180,Bachelor of Science With Major in Mathematics,Government Degree College Mendhar
1181,Bachelor of Science With Major in Mathematics,Government Degree College Nowshera
1182,Bachelor of Science With Major in Mathematics,Government Degree College Paloura
1183,Bachelor of Science With Major in Mathematics,Government Degree College R S Pura
1184,Bachelor of Science With Major in Mathematics,Government Degree College Ramban
1185,Bachelor of Science With Major in Mathematics,Government Degree College Udhampur
1186,Bachelor of Science With Major in Mathematics,Government General Zorawar Singh Memorial Degree College Reasi.
1187,Bachelor of Science With Major in Mathematics,Government PG College Rajouri
1188,Bachelor of Science With Major in Mathematics,Pt Premnath Dogra GDC Samba
1189,Bachelor of Science With Major in Mathematics,Shri Kishan Chander Government Degree College Poonch
1190,Bachelor of Science With Major in Physics,Government College for Women Udhampur
1191,Bachelor of Science With Major in Physics,Government Degree College Akhnoor
1192,Bachelor of Science With Major in Physics,Government Degree College Bhaderwah
1193,Bachelor of Science With Major in Physics,Government Degree College Billawar
1194,Bachelor of Science With Major in Physics,Government Degree College Bishnah
1195,Bachelor of Science With Major in Physics,Government Degree College Doda
1196,Bachelor of Science With Major in Physics,Government Degree College for Women Kathua
1197,Bachelor of Science With Major in Physics,Government Degree College Hiranagar
1198,Bachelor of Science With Major in Physics,Government Degree College Kathua
1199,Bachelor of Science With Major in Physics,Government Degree College Khour
1200,Bachelor of Science With Major in Physics,Government Degree College Kishtwar
1201,Bachelor of Science With Major in Physics,Government Degree College Mahanpur
1202,Bachelor of Science With Major in Physics,Government Degree College Mendhar
1203,Bachelor of Science With Major in Physics,Government Degree College Nowshera
1204,Bachelor of Science With Major in Physics,Government Degree College Paloura
1205,Bachelor of Science With Major in Physics,Government Degree College R S Pura
1206,Bachelor of Science With Major in Physics,Government Degree College Ramban
1207,Bachelor of Science With Major in Physics,Government Degree College Ramnagar
1208,Bachelor of Science With Major in Physics,Government Degree College Sainik Colony Kunjwani
1209,Bachelor of Science With Major in Physics,Government Degree College Udhampur
1210,Bachelor of Science With Major in Physics,Government General Zorawar Singh Memorial Degree College Reasi.
1211,Bachelor of Science With Major in Physics,Government PG College Rajouri
1212,Bachelor of Science With Major in Physics,Pt Premnath Dogra GDC Samba
1213,Bachelor of Science With Major in Physics,Shri Kishan Chander Government Degree College Poonch
1214,Bachelor of Science With Major in Sericulture,Government Degree College Udhampur
1215,Bachelor of Science With Major in Statistics,Government Degree College Udhampur
1216,Bachelor of Science With Major in Statistics,Pt Premnath Dogra GDC Samba
1217,Bachelor of Science With Major in Zoology,Government College for Women Udhampur
1218,Bachelor of Science With Major in Zoology,Government Degree College Akhnoor
1219,Bachelor of Science With Major in Zoology,Government Degree College Banihal
1220,Bachelor of Science With Major in Zoology,Government Degree College Basohli
1221,Bachelor of Science With Major in Zoology,Government Degree College Bhaderwah
1222,Bachelor of Science With Major in Zoology,Government Degree College Billawar
1223,Bachelor of Science With Major in Zoology,Government Degree College Bishnah
1224,Bachelor of Science With Major in Zoology,Government Degree College Chenani
1225,Bachelor of Science With Major in Zoology,Government Degree College Doda
1226,Bachelor of Science With Major in Zoology,Government Degree College for Women Kathua
1227,Bachelor of Science With Major in Zoology,Government Degree College Hiranagar
1228,Bachelor of Science With Major in Zoology,Government Degree College Kathua
1229,Bachelor of Science With Major in Zoology,Government Degree College Khour
1230,Bachelor of Science With Major in Zoology,Government Degree College Kilhotran
1231,Bachelor of Science With Major in Zoology,Government Degree College Kishtwar
1232,Bachelor of Science With Major in Zoology,Government Degree College Marh
1233,Bachelor of Science With Major in Zoology,Government Degree College Mendhar
1234,Bachelor of Science With Major in Zoology,Government Degree College Nowshera
1235,Bachelor of Science With Major in Zoology,Government Degree College Paloura
1236,Bachelor of Science With Major in Zoology,Government Degree College R S Pura
1237,Bachelor of Science With Major in Zoology,Government Degree College Ramban
1238,Bachelor of Science With Major in Zoology,Government Degree College Ramnagar
1239,Bachelor of Science With Major in Zoology,Government Degree College Surankote
1240,Bachelor of Science With Major in Zoology,Government Degree College Thanamandi
1241,Bachelor of Science With Major in Zoology,Government Degree College Udhampur
1242,Bachelor of Science With Major in Zoology,Government PG College Rajouri
1243,Bachelor of Science With Major in Zoology,Pt Premnath Dogra GDC Samba
1244,Bachelor of Science With Major in Zoology,Shri Kishan Chander Government Degree College Poonch
1245,Bachelor of Science Zoology (Hons),Government Degree College Baramulla
1246,Bachelor of Science Zoology (Hons),Amar Singh College Srinagar
1247,Bachelor of Science Zoology (Hons),Abdul Ahad Azad Memorial College Bemina
1248,Bachelor of Science Zoology (Hons),Government College for Women M A Road Srinagar
1249,Bachelor of Science Zoology (Hons),Sri Pratap College Srinagar
1250,Bachelor of Social and Behavioral Science With Major in Economics,Government College for Women Udhampur
1251,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Akhnoor
1252,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Banihal
1253,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Basohli
1254,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Bhaderwah
1255,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Doda
1256,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College for Women Kathua
1257,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Kakryal Katra
1258,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Kalakote
1259,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Kathua
1260,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Kilhotran
1261,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Kishtwar
1262,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Mahanpur
1263,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Majalta
1264,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Marheen
1265,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Mendhar
1266,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Nowshera
1267,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Pouni
1268,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College R S Pura
1269,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Sainik Colony Kunjwani
1270,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Sunderbani
1271,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Surankote
1272,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Thanamandi
1273,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Thathri
1274,Bachelor of Social and Behavioral Science With Major in Economics,Government Degree College Udhampur
1275,Bachelor of Social and Behavioral Science With Major in Economics,Government General Zorawar Singh Memorial Degree College Reasi.
1276,Bachelor of Social and Behavioral Science With Major in Economics,Government PG College Rajouri
1277,Bachelor of Social and Behavioral Science With Major in Economics,Pt Premnath Dogra GDC Samba
1278,Bachelor of Social and Behavioral Science With Major in Economics,Shri Kishan Chander Government Degree College Poonch
1279,Bachelor of Social and Behavioral Science With Major in Education,Government College for Women Udhampur
1280,Bachelor of Social and Behavioral Science With Major in Education,Government Degree College Akhnoor
1281,Bachelor of Social and Behavioral Science With Major in Education,Government Degree College Bani
