Aishe Code,Name,District,State,Website,Year Of Establishment,Location,College Type,Manegement,University Aishe Code,University Name,University Type,For_girls
C-21454,Government Women College Anantnag,Anantnag,Jammu and Kashmir,www.wca.edu.in,1979,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,true
C-21459,Government Women College Baramulla,Baramulla,Jammu and Kashmir,,1986,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,true
C-48530,Government Women College Kupwara,Kupwara,Jammu and Kashmir,www.gdcwkupwara.edu.in,2011,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,true
C-21408,Government Women College Nawakadal Srinagar,Srinagar,Jammu and Kashmir,www.gcwnk.ac.in,1961,Urban,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,true
C-35390,Government Women College Sopore,Baramulla,Jammu and Kashmir,,2005,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,true
C-63678,Govt Degree College Padder,Kishtwar,Jammu and Kashmir,https://www.instagram.com/gdc_paddar/,2019,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-48764,Govt. Degree College Gool,Ramban,Jammu and Kashmir,https://www.gdcgool.com/,2012,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-64512,Govt. Degree College Hyderpora,Srinagar,Jammu and Kashmir,http://gdchyderpora.edu.in/Main/Default.aspx,2019,,Affiliated College,,,Cluster University Srinagar,State Public University,false
C-21439,Govternment Degree College Beerwah,Budgam,Jammu and Kashmir,,2005,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-63977,Hamidi Kashmiri Memorial Government Degree College Eidgah Kashmir.,Srinagar,Jammu and Kashmir,,2019,Urban,Affiliated College,State Government,U-0909,Cluster University Srinagar,State Public University,false
C-21450,Hassan Khoyihami Memorial Degree College Bandipora,Bandipora,Jammu and Kashmir,,2005,Rural,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-21457,Institute of Advanced Studies in Education Srinagar.,Srinagar,Jammu and Kashmir,www.gcoekmr.edu.in,1937,Urban,Constituent / University College,State Government,U-0909,Cluster University Srinagar,State Public University,false
C-21407,"Islamia College of Science & Commerce, Srinagar",Srinagar,Jammu and Kashmir,www.islamiacollege.edu.in,1961,Urban,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
C-58020,Jammu and Kashmir Institute of Mathematical Sciences,Srinagar,Jammu and Kashmir,,2013,Urban,Affiliated College,Central Government,U-0196,"University of Kashmir, Srinagar",State Public University,false
,Pt Premnath Dogra GDC Samba,,,https://gdcsamba.in/,2005,,,,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-22922,Shri Kishan Chander Government Degree College Poonch,Poonch,Jammu and Kashmir,www.gdcpoonch.co.in,1955,Rural,Affiliated College,State Government,U-0195,"University of Jammu, Jammu Tawi",State Public University,false
C-21432,Sri Pratap College Srinagar,Srinagar,Jammu and Kashmir,,1905,Urban,Constituent / University College,State Government,U-0909,Cluster University Srinagar,State Public University,false
C-35389,Srinagar Women’s College Zakura,Srinagar,Jammu and Kashmir,,2008,Urban,Affiliated College,State Government,U-0196,"University of Kashmir, Srinagar",State Public University,true
C-45988,"Vishwa Bharti Women's College Rainawari, Srinagar",Jammu,Jammu and Kashmir,www.vbce.org.in,1979,Rural,Affiliated College,Local Body,U-0196,"University of Kashmir, Srinagar",State Public University,true
