id,Courses,roadmap_id,stream
121,Bachelor of Science with Major in Biotechnology,2,Science
122,Bachelor of Science with Major in Botany,2,Science
123,Bachelor of Science With Major in Chemistry,2,Science
124,Bachelor of Science With Major in Computer Application,4,Science
125,Bachelor of Science With Major in Electronics,4,Science
126,Bachelor of Science With Major in Environmental Science,2,Science
127,Bachelor of Science With Major in Geography,1,Science
128,Bachelor of Science With Major in Geology,2,Science
129,Bachelor of Science With Major in Home Science,5,Science
130,Bachelor of Science With Major in Industrial Fish and fisheries,2,Science
131,Bachelor of Science With Major in Information Technology,4,Science
132,Bachelor of Science With Major in Mathematics,2,Science
133,Bachelor of Science With Major in Physics,2,Science
134,Bachelor of Science With Major in Sericulture,5,Science
135,Bachelor of Science With Major in Statistics,2,Science
136,Bachelor of Science With Major in Zoology,2,Science
137,Bachelor of Science Zoology (Hons),2,Science
138,Bachelor of Social and Behavioral Science With Major in Economics,1,Arts
139,Bachelor of Social and Behavioral Science With Major in Education,5,Arts
140,Bachelor of Social and Behavioural Science With Major in History,1,Arts
141,Bachelor of Social and Behavioural Science With Major in Islamic Studies,1,Arts
142,Bachelor of Social and Behavioural Science With Major in Library Science,1,Arts
143,Bachelor of Social and Behavioural Science With Major in Philosophy,1,Arts
144,Bachelor of Social and Behavioural Science With Major in Physical Education,5,Arts
145,Bachelor of Social and Behavioural Science With Major in Political Science,1,Arts
146,Bachelor of Social and Behavioural Science With Major in Psychology,1,Arts
147,Bachelor of Social and Behavioural Science With Major in Public Administration,5,Arts
148,Bachelor of Social and Behavioural Science With Major in Sociology,1,Arts
149,BACHELORS (HONOURS) WITH ACCOUNTING & TAXATION (COMMERCE) AS MAJOR,3,Commerce
150,BACHELORS (HONOURS) WITH ANTHROPOLOGY AS MAJOR,1,Science
151,BACHELORS (HONOURS) WITH ARABIC LITERATURE AS MAJOR,1,Arts
152,BACHELORS (HONOURS) WITH BIO-CHEMISTRY AS MAJOR,2,Science
153,BACHELORS (HONOURS) WITH BIO-RESOURCES AS MAJOR,2,Science
154,BACHELORS (HONOURS) WITH BIO-TECHNOLOGY AS MAJOR,2,Science
155,BACHELORS (HONOURS) WITH BOTANY AS MAJOR,2,Science
156,BACHELORS (HONOURS) WITH BUSINESS ADMINISTRATION AS MAJOR,3,Commerce
157,BACHELORS (HONOURS) WITH CHEMISTRY AS MAJOR,2,Science
158,BACHELORS (HONOURS) WITH CLINICAL BIO-CHEMISTRY AS MAJOR,2,Science
159,BACHELORS (HONOURS) WITH COMMERCE (FINANCE) AS MAJOR,3,Commerce
160,BACHELORS (HONOURS) WITH COMPUTER APPLICATIONS AS MAJOR,4,Science
161,BACHELORS (HONOURS) WITH DISASTER MANAGEMENT AS MAJOR,5,Arts
162,BACHELORS (HONOURS) WITH ECONOMICS AS MAJOR,1,Arts
163,BACHELORS (HONOURS) WITH EDUCATION AS MAJOR,5,Arts
164,BACHELORS (HONOURS) WITH ELECTRONICS AS MAJOR,4,Science
165,BACHELORS (HONOURS) WITH ENGLISH LITERATURE AS MAJOR,1,Arts
166,BACHELORS (HONOURS) WITH ENVIRONMENTAL SCIENCE AS MAJOR,2,Science
167,BACHELORS (HONOURS) WITH FOOD SCIENCE & TECHNOLOGY AS MAJOR,2,Science
168,BACHELORS (HONOURS) WITH GEOGRAPHY AS MAJOR,1,Science
169,BACHELORS (HONOURS) WITH GEOLOGY AS MAJOR,2,Science
170,BACHELORS (HONOURS) WITH HINDI LITERATURE AS MAJOR,1,Arts
171,BACHELORS (HONOURS) WITH HISTORY AS MAJOR,1,Arts
172,BACHELORS (HONOURS) WITH HOME SCIENCE AS MAJOR,5,Science
173,BACHELORS (HONOURS) WITH INDIAN MUSIC AS MAJOR,1,Arts
174,BACHELORS (HONOURS) WITH INFORMATION TECHNOLOGY AS MAJOR,4,Science
175,BACHELORS (HONOURS) WITH ISLAMIC STUDIES AS MAJOR,1,Arts
176,BACHELORS (HONOURS) WITH KASHMIRI LITERATURE AS MAJOR,1,Arts
177,BACHELORS (HONOURS) WITH MANAGEMENT (COMMERCE) AS MAJOR,3,Commerce
178,BACHELORS (HONOURS) WITH MASS COMMUNICATION AND MULTIMEDIA PRODUCTION AS MAJOR,1,Arts
179,BACHELORS (HONOURS) WITH MATHEMATICS/APPLIED MATHEMATICS AS MAJOR,2,Science
180,BACHELORS (HONOURS) WITH PERSIAN LITERATURE AS MAJOR,1,Arts
181,BACHELORS (HONOURS) WITH PHILOSOPHY AS MAJOR,1,Arts
182,BACHELORS (HONOURS) WITH PHYSICS AS MAJOR,2,Science
183,BACHELORS (HONOURS) WITH POLITICAL SCIENCE AS MAJOR,1,Arts
184,BACHELORS (HONOURS) WITH PSYCHOLOGY AS MAJOR,1,Arts
185,BACHELORS (HONOURS) WITH PUBLIC ADMINISTRATION AS MAJOR,5,Arts
186,BACHELORS (HONOURS) WITH PUNJABI LITERATURE AS MAJOR,1,Arts
187,BACHELORS (HONOURS) WITH SOCIAL WORK AS MAJOR,5,Arts
188,BACHELORS (HONOURS) WITH SOCIOLOGY AS MAJOR,1,Arts
